Superintendência,Processo,Tipo de requerimento,Fase Atual,CPF/CNPJ do titular,Titular,Municipio(s),Substância(s),Tipo(s) de Uso,Situação,doc_limpo
Gerência Regional / MG,832636/2002,Requerimento de Autorização de Pesquisa,Concessão de Lavra,24.042.913/0001-39,GRANSENA EXPORTACAO E COMERCIO LTDA,ARAÇUAÍ,GRANITO,Revestimento,Sim,24042913000139
Gerência Regional / MG,816951/1973,Requerimento de Autorização de Pesquisa,Concessão de Lavra,35.866.904/0001-89,Mineração Taperebá S A,VIRGEM DA LAPA,CASCALHO DIAMANTÍFERO,Demais substâncias,Sim,35866904000189
Gerência Regional / MG,814245/1973,Requerimento de Autorização de Pesquisa,Concessão de Lavra,35.866.904/0001-89,Mineração Taperebá S A,VIRGEM DA LAPA,DIAMANTE,Demais substâncias,Sim,35866904000189
Gerência Regional / MG,830089/2000,Requerimento de Autorização de Pesquisa,Concessão de Lavra,36.346.393/0001-37,MINERACAO THOMAZINI LTDA,ITINGA,"GRANITO, MINÉRIO DE OURO","Industrial, Revestimento",Sim,36346393000137
Gerência Regional / MG,801871/1978,Requerimento de Autorização de Pesquisa,Concessão de Lavra,36.346.393/0001-37,MINERACAO THOMAZINI LTDA,ITINGA,"BERILO, FELDSPATO, MICA, PEGMATITO, QUARTZO, TÂNTALO","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Revestimento",Sim,36346393000137
Gerência Regional / MG,801869/1978,Requerimento de Autorização de Pesquisa,Concessão de Lavra,36.346.393/0001-37,MINERACAO THOMAZINI LTDA,ITINGA,"BERILO, ESTANHO, FELDSPATO, MICA, PEGMATITO, QUARTZO, TANTALITA","Construção civil, Industrial, Industrial, Industrial, Industrial, Industrial, Revestimento",Sim,36346393000137
Gerência Regional / MG,831337/2012,Requerimento de Cessão parcial,Concessão de Lavra,39.282.298/0001-05,MINERACAO CORCOVADO DE MINAS LTDA,SALINAS,GRANITO,Industrial,Sim,39282298000105
Gerência Regional / MG,830016/2004,Requerimento de Autorização de Pesquisa,Concessão de Lavra,39.282.298/0001-05,MINERACAO CORCOVADO DE MINAS LTDA,CORONEL MURTA,GRANITO,Revestimento,Sim,39282298000105
Gerência Regional / MG,831609/2002,Requerimento de Autorização de Pesquisa,Concessão de Lavra,39.365.754/0001-80,NOVA AURORA MARMORES E GRANITOS LTDA,ITINGA,GRANITO,Revestimento,Sim,39365754000180
Gerência Regional / MG,831608/2002,Requerimento de Autorização de Pesquisa,Concessão de Lavra,39.365.754/0001-80,NOVA AURORA MARMORES E GRANITOS LTDA,ITINGA,GRANITO,Revestimento,Sim,39365754000180
Gerência Regional / MG,831013/1984,Requerimento de Autorização de Pesquisa,Concessão de Lavra,48.147.730/0001-46,Granitos Moredo Ltda,TEÓFILO OTONI,GRANITO,Demais substâncias,Sim,48147730000146
Gerência Regional / MG,830841/1986,Requerimento de Autorização de Pesquisa,Concessão de Lavra,25.992.967/0001-28,MINERAÇÃO ITABELA LTDA                                                          ,MEDINA,GRANITO,Demais substâncias,Sim,25992967000128
Gerência Regional / MG,820099/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,35.866.904/0001-89,Mineração Taperebá S A,VIRGEM DA LAPA,DIAMANTE,Demais substâncias,Sim,35866904000189
Gerência Regional / MG,830269/1990,Requerimento de Autorização de Pesquisa,Concessão de Lavra,38.564.373/0001-68,MINERACAO JOAO WOLFF LTDA,TEÓFILO OTONI,GRANITO,Demais substâncias,Sim,38564373000168
Gerência Regional / MG,830003/2004,Requerimento de Autorização de Pesquisa,Concessão de Lavra,39.365.754/0001-80,NOVA AURORA MARMORES E GRANITOS LTDA,ITINGA,GRANITO,Industrial,Sim,39365754000180
Gerência Regional / MG,830343/1979,Requerimento de Autorização de Pesquisa,Concessão de Lavra,60.628.468/0001-57,MINERACAO JUNDU LTDA,ARAÇUAÍ,"BERILO, COLUMBITA, FELDSPATO","Demais substâncias, Demais substâncias, Demais substâncias",Sim,60628468000157
Gerência Regional / MG,825819/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,***.528.406-**,ALEXANDRE VILLAS-BOAS SZUNDY                                                    ,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,528406
